trial,start_time,rt,correct,fact_id,question,answer,alpha
1,47576.3709999992,7155.113900000288,True,0,cameroon,yaounde,0.3
2,60525.90589999818,1635.794600002555,True,0,cameroon,yaounde,0.3
3,67340.1131999999,5900.37989999837,False,1,somalia,mogadishu,0.3
4,82357.96549999941,1002.7871000020241,False,1,somalia,mogadishu,0.3
5,100265.14319999842,6373.789000001125,True,2,botswana,gaborone,0.3
6,111041.64170000149,912.9754999994475,False,0,cameroon,yaounde,0.349609375
7,123615.81759999899,15502.533300001232,False,2,botswana,gaborone,0.3
8,145832.05989999988,27890.709600000264,True,1,somalia,mogadishu,0.349609375
9,180574.28779999827,878.5158999999112,False,0,cameroon,yaounde,0.39921874999999996
10,193966.79320000112,12307.595799997216,False,2,botswana,gaborone,0.349609375
11,219589.94289999828,10854.217600000993,False,1,somalia,mogadishu,0.39921874999999996
12,240872.78570000126,6489.887899999303,False,0,cameroon,yaounde,0.4332031249999999
13,275739.88699999976,inf,True,1,somalia,mogadishu,0.427734375
14,311533.5994000016,inf,False,0,cameroon,yaounde,0.43437499999999996
15,353752.61899999896,30206.823700002104,False,2,botswana,gaborone,0.39296875
16,399652.77879999846,15357.475300003018,False,1,somalia,mogadishu,0.43984375
17,430391.2046000005,40916.67149999918,False,0,cameroon,yaounde,0.458984375
18,478717.6760000002,6349.674299999606,False,2,botswana,gaborone,0.39726562499999996
19,499735.5691000011,6162.703399997554,False,1,somalia,mogadishu,0.44804687499999996
20,511818.0224999996,9048.06340000144,True,0,cameroon,yaounde,0.47187500000000004
21,527533.8861999989,8120.769200002542,True,2,botswana,gaborone,0.39765624999999993
22,540753.2428999984,inf,True,1,somalia,mogadishu,0.46015624999999993
23,557044.9757999995,8541.586999999708,True,0,cameroon,yaounde,0.4808593750000001
24,573358.753299999,6538.599899999099,True,1,somalia,mogadishu,0.469140625
25,582875.0153000001,1779.5909000014653,True,0,cameroon,yaounde,0.4804687500000001
26,588100.8488000007,10540.039600000367,False,3,libya,tripoli,0.3
27,604138.9496000011,4997.165299999295,False,2,botswana,gaborone,0.40351562499999993
28,614836.2621999986,1558.4215000016848,True,3,libya,tripoli,0.3
29,621075.6427999986,4047.250600000494,True,1,somalia,mogadishu,0.46953124999999996
30,627939.7055000009,inf,True,4,rwanda,kigali,0.3
31,646209.5598999986,1750.8277000015369,True,0,cameroon,yaounde,0.46992187500000004
32,651358.8818999997,1718.7723999995505,True,4,rwanda,kigali,0.3
33,655318.8004000003,22093.578799998853,True,5,mauritania,nouakchott,0.3
34,684059.8179000008,2252.541800000472,True,3,libya,tripoli,0.262109375
35,688893.6377999999,8492.671700001578,False,5,mauritania,nouakchott,0.3
36,710277.6593999988,3692.9372000013245,False,1,somalia,mogadishu,0.519140625
37,719050.7322000013,1880.4244999991497,False,4,rwanda,kigali,0.349609375
38,729100.7993999992,3173.66580000089,True,1,somalia,mogadishu,0.5687500000000001
39,735543.3334000008,2007.588799999212,True,2,botswana,gaborone,0.40312499999999996
40,741481.2034999996,2536.773300002096,True,1,somalia,mogadishu,0.5707031250000001
41,747611.1899999996,1760.027200001874,True,0,cameroon,yaounde,0.4203125000000001
42,752139.1140000015,2583.4520999996457,False,5,mauritania,nouakchott,0.349609375
43,762136.3146000004,inf,True,1,somalia,mogadishu,0.5710937500000001
44,775588.0983999996,2675.2698000018718,True,4,rwanda,kigali,0.36250000000000004
45,780756.5256000017,2138.048799999524,True,1,somalia,mogadishu,0.5683593750000001
46,786007.3449999981,8722.51750000217,True,6,gambia,banjul,0.3
47,797014.4607000002,2056.9439999999013,True,5,mauritania,nouakchott,0.34921875
48,803912.1973000001,inf,True,6,gambia,banjul,0.3
49,810065.5961000011,1648.9602000000887,True,1,somalia,mogadishu,0.5679687500000001
50,815038.4543,20151.92039999971,True,7,gabon,libreville,0.3
51,840304.8454999989,3273.117799999425,True,2,botswana,gaborone,0.4527343749999999
52,846808.1653000008,4086.923700000625,True,7,gabon,libreville,0.3
53,857423.5239000008,2962.962499998044,True,1,somalia,mogadishu,0.5925781250000002
54,863177.0386999997,4774.970800001058,True,4,rwanda,kigali,0.3871093750000001
55,870254.8559999996,11808.622399999877,False,6,gambia,banjul,0.349609375
56,887571.5128999982,1867.10310000123,True,1,somalia,mogadishu,0.5664062500000001
57,892039.0550000011,1518.1792999973986,True,2,botswana,gaborone,0.45234374999999993
58,898150.7439000015,2663.4450999990804,True,5,mauritania,nouakchott,0.361328125
59,905906.457000001,1932.0698999981396,True,7,gabon,libreville,0.29960937499999996
60,912823.3170999993,2024.4022000005934,True,6,gambia,banjul,0.34921875
61,916877.8061000012,1706.07519999973,True,4,rwanda,kigali,0.36250000000000004
62,920975.8838999987,22090.86910000036,True,8,guinea,conakry,0.3
63,950818.8077999984,inf,True,1,somalia,mogadishu,0.5667968750000001
64,957459.6735999985,2960.850900002755,False,8,guinea,conakry,0.3
65,968752.7145999994,9264.588099998888,True,2,botswana,gaborone,0.45585937499999996
66,980645.9902999995,1716.1148000014946,True,1,somalia,mogadishu,0.5171875
67,984924.2870000016,2425.214199996786,True,3,libya,tripoli,0.25468749999999996
68,989554.9945999992,4527.5465000013355,True,9,guinea-bissau,bissau,0.3
69,997709.3241000002,2128.9591999993427,True,5,mauritania,nouakchott,0.35625000000000007
70,1005674.3529000015,1356.1851999983191,True,9,guinea-bissau,bissau,0.3
71,1011430.9314999991,1859.574000001885,True,6,gambia,banjul,0.328515625
72,1015223.2273000008,3626.7533999999287,False,8,guinea,conakry,0.34882812499999993
73,1024666.1270000004,2710.868899997906,True,0,cameroon,yaounde,0.42070312500000007
74,1029922.297000001,1257.2884999972302,True,2,botswana,gaborone,0.40625
75,1033766.4963999996,inf,True,10,burundi,bujumbura,0.3
76,1054487.0177000011,1869.3977000003215,True,7,gabon,libreville,0.24999999999999997
77,1061644.2017000008,2933.0181000004523,True,10,burundi,bujumbura,0.3
78,1070609.6633999986,1162.5429000016302,True,9,guinea-bissau,bissau,0.250390625
79,1073875.8721999985,2892.9639000014868,True,8,guinea,conakry,0.38203124999999993
80,1081358.4222999997,11782.89669999876,True,11,equatorial guinea,malabo,0.3
81,1095622.2592000014,1914.6887999994215,True,4,rwanda,kigali,0.36210937500000007
82,1102358.1884000013,13238.212099997327,False,11,equatorial guinea,malabo,0.3
83,1125656.6397999995,3412.622200001264,False,10,burundi,bujumbura,0.349609375
84,1137189.7998999993,4745.732800001977,True,8,guinea,conakry,0.38398437499999993
85,1145003.2194999985,3936.310700002592,False,1,somalia,mogadishu,0.5667968750000001
86,1157479.6604000004,4495.444500000216,False,11,equatorial guinea,malabo,0.349609375
87,1170697.6916999994,inf,False,1,somalia,mogadishu,0.5921875000000001
88,1187188.5908000004,5110.328099999577,True,10,burundi,bujumbura,0.39921874999999996
89,1195569.787299999,2004.608499999391,True,1,somalia,mogadishu,0.5902343750000001
90,1203781.7045000012,inf,False,5,mauritania,nouakchott,0.3691406250000001
91,1223729.6534999986,8599.960999999894,False,11,equatorial guinea,malabo,0.39921874999999996
92,1242687.1902999992,1586.5150999997277,True,1,somalia,mogadishu,0.540625

