trial,start_time,rt,correct,fact_id,question,answer,alpha
1,33101.433600000746,1507.3515999993106,6.0,0,comoros,moroni,0.3
2,36543.65510000025,inf,6.0,0,comoros,moroni,0.3
3,40095.790400000624,1263.0825999985973,9.0,1,somalia,mogadishu,0.3
4,44946.47819999955,2178.852500001085,9.0,1,somalia,mogadishu,0.3
5,49698.30829999955,3517.6246000009996,7.0,2,swaziland,mbabane,0.3
6,56886.692300000504,1399.1867000004277,6.0,3,central african republic,bangui,0.3
7,60019.465800000035,inf,6.0,2,swaziland,mbabane,0.3
8,67519.6520999998,inf,0.0,3,central african republic,bangui,0.3
9,77335.10980000028,2333.0038000003697,0.0,0,comoros,moroni,0.349609375
10,80740.8574000001,1238.0498000002262,6.0,4,zimbabwe,harare,0.3
11,84150.68299999984,2377.7398000001995,8.0,5,sao tome and principe,sao tome,0.3
12,89794.10040000039,1211.3939999999275,1.0,4,zimbabwe,harare,0.3
13,94209.59749999929,1319.9719000003824,8.0,5,sao tome and principe,sao tome,0.3
14,97820.58990000041,1279.119200000423,9.0,1,somalia,mogadishu,0.250390625
15,102396.78389999972,1151.2994000004255,9.0,6,mayotte,mamoudzou,0.3
16,108711.59190000071,3803.969699998561,3.0,2,swaziland,mbabane,0.349609375
17,114980.66739999922,10185.224800001379,1.0,6,mayotte,mamoudzou,0.3
18,128532.52880000036,1335.6966999999713,6.0,0,comoros,moroni,0.34921875
19,133126.91219999944,4509.49940000099,2.0,3,central african republic,bangui,0.349609375
20,140232.20980000042,1023.3305000001565,1.0,4,zimbabwe,harare,0.250390625
21,143970.23599999922,855.3598000016646,8.0,5,sao tome and principe,sao tome,0.250390625
22,146811.80060000042,1063.033000000345,10.0,7,gabon,libreville,0.3
23,150653.25350000057,inf,6.0,2,swaziland,mbabane,0.39921874999999996
24,161453.8210999999,6043.971700000839,8.0,7,gabon,libreville,0.3
25,170698.43240000046,1905.6664999989152,1.0,6,mayotte,mamoudzou,0.250390625
26,174804.70439999952,1410.7261999998009,1.0,3,central african republic,bangui,0.34921875
27,178138.77590000082,1669.238200000138,9.0,8,st. helena,jamestown,0.3
28,181914.4071999999,1215.5098000002909,3.0,2,swaziland,mbabane,0.398828125
29,185787.1950000008,2429.5007000000624,2.0,8,st. helena,jamestown,0.3
30,190166.7739000004,1757.8479000003426,6.0,9,angola,luanda,0.3
31,194091.1519000001,1529.8803000005137,6.0,10,equatorial guinea,malabo,0.3
32,197528.2406999995,3957.03210000103,0.0,9,angola,luanda,0.3
33,203702.6631000008,inf,0.0,10,equatorial guinea,malabo,0.3
34,210840.2115000008,1131.1822999996366,6.0,0,comoros,moroni,0.29960937500000007
35,213948.6213,2102.389499999874,1.0,7,gabon,libreville,0.275390625
36,217749.32169999921,inf,6.0,11,guinea-bissau,bissau,0.3
37,221927.83419999978,1207.102100001066,7.0,12,kenya,nairobi,0.3
38,226841.7487000006,3494.4193999999843,1.0,11,guinea-bissau,bissau,0.3
39,232161.71869999927,1059.2774000015052,7.0,12,kenya,nairobi,0.3
40,235187.65879999957,1184.9950000014214,9.0,8,st. helena,jamestown,0.250390625
41,238485.4525999999,951.5881000006921,5.0,13,nigeria,abuja,0.3
42,241584.58539999992,1340.2540000006557,10.0,14,mauritania,nouakchott,0.3
43,248200.60059999925,inf,1.0,13,nigeria,abuja,0.3
44,253294.45379999926,4946.861200000043,10.0,14,mauritania,nouakchott,0.3
45,261864.901500001,2326.0389999996114,0.0,9,angola,luanda,0.349609375
46,266179.48389999947,1609.3424999999115,3.0,2,swaziland,mbabane,0.3984375
47,269736.5458000004,984.399999999383,2.0,10,equatorial guinea,malabo,0.250390625
48,272488.0178999993,964.04260000051,1.0,3,central african republic,bangui,0.29960937500000007
49,275434.75140000007,927.236899999145,0.0,11,guinea-bissau,bissau,0.349609375
50,278195.4201000008,1232.0188999983366,10.0,15,madagascar,antananarivo,0.3
51,283585.138800001,1256.579699998838,7.0,12,kenya,nairobi,0.250390625
52,286924.8216999986,inf,2.0,15,madagascar,antananarivo,0.3
53,296211.2237000001,4063.28189999843,1.0,13,nigeria,abuja,0.349609375
54,302023.44300000183,847.3272999981418,0.0,9,angola,luanda,0.39921874999999996
55,304672.03080000036,3173.7233999992604,0.0,14,mauritania,nouakchott,0.349609375
56,309463.90919999976,1418.5394999985583,5.0,16,senegal,dakar,0.3
57,312619.5560999986,1356.418900002609,6.0,17,gambia,banjul,0.3
58,317145.05329999886,714.1069000026328,5.0,16,senegal,dakar,0.3
59,319450.04840000183,770.8623999969568,6.0,17,gambia,banjul,0.3
60,322231.2858000005,1951.2047999996576,0.0,11,guinea-bissau,bissau,0.39921874999999996
61,325896.009600001,1782.723899999808,6.0,18,mali,bamako,0.3
62,330805.02569999953,2486.3202000014717,6.0,9,angola,luanda,0.42460937499999996
63,334977.37190000043,1558.1032000008854,1.0,18,mali,bamako,0.3
64,338221.46119999886,3426.148000002315,6.0,15,madagascar,antananarivo,0.349609375
65,343936.3187000017,6315.841799998481,1.0,13,nigeria,abuja,0.39921874999999996
66,351993.1479000006,1150.806300000113,1.0,2,swaziland,mbabane,0.34882812500000004
