trial,start_time,rt,correct,fact_id,question,answer,alpha
1,30022.091999999247,inf,True,0,niger,niamey,0.3
2,65565.35710000026,1201.5505999988818,True,0,niger,niamey,0.3
3,69140.8307999991,1724.2514999998093,True,1,south africa,cape town,0.3
4,75862.44439999791,inf,True,1,south africa,cape town,0.3
5,82027.8373000001,1452.3138999975345,True,2,libya,tripoli,0.3
6,86159.29979999783,1528.4043999999994,True,3,djibouti,djibouti,0.3
7,90416.13119999965,1202.0577999974194,True,2,libya,tripoli,0.3
8,93998.78279999757,1042.7899999995134,True,3,djibouti,djibouti,0.3
9,97462.78869999878,2029.0902000015194,True,4,malawi,lilongwe,0.3
10,102687.88510000013,2997.8487999978825,True,5,guinea,conakry,0.3
11,109612.1839999978,1538.4862999999314,False,4,malawi,lilongwe,0.3
12,136094.12899999734,3113.9922000002116,True,5,guinea,conakry,0.3
13,144075.72769999751,1504.8045000003185,True,1,south africa,cape town,0.250390625
14,147898.0343000003,9939.05679999807,False,0,niger,niamey,0.349609375
15,160849.8507999975,917.6810999997542,True,2,libya,tripoli,0.250390625
16,163947.59079999858,871.1250000014843,True,3,djibouti,djibouti,0.250390625
17,168362.60050000055,2726.0038999993412,True,4,malawi,lilongwe,0.328515625
18,174753.840399997,1192.768300003081,True,6,kenya,nairobi,0.3
19,180386.28919999974,1425.340399997367,False,7,sao tome and principe,sao tome,0.3
20,190015.69249999739,1092.59590000147,True,6,kenya,nairobi,0.3
21,194490.62969999795,996.1562999997113,True,7,sao tome and principe,sao tome,0.3
22,197992.40629999986,1836.8267999976524,True,0,niger,niamey,0.30000000000000004
23,201824.6822000001,2541.0974999977043,True,5,guinea,conakry,0.300390625
24,210596.70039999764,1326.9203000018024,True,8,uganda,kampala,0.3
25,214284.24099999756,1188.06240000049,True,9,tanzania,dar es salaam,0.3
26,219604.15139999895,3762.580300000991,False,8,uganda,kampala,0.3
27,233106.12989999936,1390.499400000408,True,9,tanzania,dar es salaam,0.3
28,237795.86439999912,2098.322099998768,True,4,malawi,lilongwe,0.32499999999999996
29,243105.6518000005,1006.1643999979424,True,6,kenya,nairobi,0.250390625
30,246572.55359999908,784.0522000005876,True,7,sao tome and principe,sao tome,0.250390625
31,249132.44940000004,943.315900000016,True,10,senegal,dakar,0.3
32,251718.84649999993,2966.856499999267,True,11,botswana,gaborone,0.3
33,257734.063099997,1086.943300000712,True,10,senegal,dakar,0.3
34,260228.98859999987,3422.545599998557,False,11,botswana,gaborone,0.3
35,269127.3102999985,1563.2108999998309,True,8,uganda,kampala,0.250390625
36,272335.85300000047,1687.8281999998144,True,12,mauritania,nouakchott,0.3
37,279854.004599998,936.5614000016358,True,13,ethiopia,addis ababa,0.3
38,283760.5005999976,1641.9442000006093,False,12,mauritania,nouakchott,0.3
39,292546.9921000004,1034.7943999986164,True,13,ethiopia,addis ababa,0.3
