trial,start_time,rt,correct,fact_id,question,answer,alpha
1,35740.4493330032,4509.208416995534,True,0,djibouti,djibouti,0.3
2,53127.82883299951,1354.8127920003026,True,0,djibouti,djibouti,0.3
3,61630.239999998594,1102.0757910009706,True,1,lesotho,maseru,0.3
4,75239.02349999844,930.6320830000914,False,1,lesotho,maseru,0.3
5,86164.1666659998,824.794458996621,True,2,kenya,nairobi,0.3
6,94699.34045799891,2376.1070000036852,True,3,uganda,kampala,0.3
7,100743.6871250029,1184.6844159954344,True,2,kenya,nairobi,0.3
8,107577.54558300076,2008.8501249992987,False,3,uganda,kampala,0.3
9,115208.86774999963,1043.9487080002436,True,0,djibouti,djibouti,0.250390625
10,119614.94533299992,1083.8646670017624,True,4,nigeria,abuja,0.3
11,125620.40208299732,1963.278708004509,False,1,lesotho,maseru,0.349609375
12,130572.10195800144,3987.336124999274,False,4,nigeria,abuja,0.3
13,144983.35133300134,2315.145417000167,True,5,south africa,cape town,0.3
14,149924.28500000096,inf,True,6,guinea,conakry,0.3
15,164917.6107500025,2188.228582999727,True,5,south africa,cape town,0.3
16,174180.3466659985,2314.936167000269,False,6,guinea,conakry,0.3
17,187092.78908299893,3357.142250002653,False,2,kenya,nairobi,0.349609375
18,198620.58391600294,3851.3808749994496,False,3,uganda,kampala,0.349609375
19,209654.8409160023,2836.4663749962347,False,1,lesotho,maseru,0.39921874999999996
20,215116.25208299665,3000.3395000021555,False,4,nigeria,abuja,0.349609375
21,219783.148333001,865.7139169954462,True,5,south africa,cape town,0.250390625
22,223152.15637499932,2356.404541002121,False,2,kenya,nairobi,0.37890625
23,231146.45137500338,2864.729957997042,False,6,guinea,conakry,0.349609375
24,243614.9880410012,inf,False,1,lesotho,maseru,0.4292968749999999
25,250940.8557909992,1190.3068340034224,False,3,uganda,kampala,0.39921874999999996
26,257375.99866600067,6382.794958997692,False,4,nigeria,abuja,0.39921874999999996
27,266109.695541003,5261.831624993647,False,7,cape verde,praia,0.3
