subject,condition,trial,start_time,rt,correct,fact_id,question,answer,alpha
1,3,81,813229.9646,inf,TRUE,8,burkina faso,ouagadougou,0.46484375
1,3,82,825639.9737,2314.7765,FALSE,9,burundi,bujumbura,0.528125
1,3,83,832050.8802,1271.079791,TRUE,10,senegal,dakar,0.20078125
1,3,84,834940.0533,3127.598208,TRUE,4,niger,niamey,0.314453125
1,3,85,839896.4345,1235.107292,TRUE,3,cape verde,praia,0.250390625
1,3,86,842661.7282,2250.869958,TRUE,12,botswana,gaborone,0.21328125
1,3,87,847688.951,1225.46625,TRUE,14,namibia,windhoek,0.3
1,3,88,852045.5046,1310.003708,TRUE,15,central african republic,bangui,0.3
1,3,89,856143.3596,1155.26225,TRUE,14,namibia,windhoek,0.3
1,3,90,860288.5347,751.900417,TRUE,15,central african republic,bangui,0.3
1,3,91,862901.6836,4449.559417,FALSE,9,burundi,bujumbura,0.577734375
1,3,92,869218.9533,1386.256541,TRUE,8,burkina faso,ouagadougou,0.464453125
1,3,93,883716.0271,2349.318041,TRUE,9,burundi,bujumbura,0.57734375
1,3,94,889934.0485,3486.661208,FALSE,2,equatorial guinea,malabo,0.38515625
1,3,95,894723.7449,2801.745292,TRUE,11,gabon,libreville,0.377734375
1,3,96,899809.0108,6209.100292,FALSE,9,burundi,bujumbura,0.626953125
1,3,97,910130.7238,2198.378541,TRUE,14,namibia,windhoek,0.268359375
1,3,98,915907.9396,4457.9245,TRUE,9,burundi,bujumbura,0.634375
1,3,99,923240.7811,2464.197875,FALSE,15,central african republic,bangui,0.349609375
1,3,100,926877.5977,3231.408292,FALSE,9,burundi,bujumbura,0.634765625
1,3,101,934157.3424,1212.108917,TRUE,16,togo,lome,0.3
1,3,102,936858.3295,8763.091792,TRUE,8,burkina faso,ouagadougou,0.46484375
1,3,103,952262.7919,1165.162542,TRUE,16,togo,lome,0.3
1,3,104,954879.266,1970.169958,TRUE,9,burundi,bujumbura,0.634375
1,3,105,959583.9298,1542.840541,TRUE,4,niger,niamey,0.3140625
1,3,106,963817.321,4249.01425,FALSE,15,central african republic,bangui,0.39921875
1,3,107,969121.6515,2536.706666,FALSE,9,burundi,bujumbura,0.683984375
1,3,108,975638.6294,4077.905792,FALSE,2,equatorial guinea,malabo,0.412109375
1,3,109,981660.1809,1891.349542,TRUE,9,burundi,bujumbura,0.68359375
1,3,110,986568.3442,1551.019542,TRUE,17,mauritius,port louis,0.3
1,3,111,991470.8777,2457.924542,FALSE,9,burundi,bujumbura,0.733203125
1,3,112,997410.8605,1902.993625,FALSE,17,mauritius,port louis,0.3
1,3,113,1000815.569,2692.520917,FALSE,9,burundi,bujumbura,0.7578125
1,3,114,1006787.763,2762.169959,TRUE,15,central african republic,bangui,0.417578125
1,3,115,1011848.957,2647.237209,FALSE,9,burundi,bujumbura,0.807421875
1,3,116,1018236.779,915.867042,TRUE,16,togo,lome,0.250390625
1,3,117,1020720.59,2406.286542,FALSE,9,burundi,bujumbura,0.85703125
1,3,118,1029165.012,1812.303792,FALSE,8,burkina faso,ouagadougou,0.514453125
1,3,119,1038459.505,5311.529709,TRUE,9,burundi,bujumbura,0.856640625
1,3,120,1046912.222,1059.746791,TRUE,11,gabon,libreville,0.37734375
1,3,121,1050153.069,3203.721583,TRUE,9,burundi,bujumbura,0.85625
1,3,122,1056868.66,1534.796167,FALSE,8,burkina faso,ouagadougou,0.54375
1,3,123,1066914.337,7983.258833,TRUE,9,burundi,bujumbura,0.862109375
1,3,124,1077956.525,1671.82975,TRUE,15,central african republic,bangui,0.40546875
1,3,125,1081186.937,2655.517208,TRUE,9,burundi,bujumbura,0.85234375
1,3,126,1086317.362,1931.408208,TRUE,17,mauritius,port louis,0.250390625
1,3,127,1090873.552,2967.741916,TRUE,9,burundi,bujumbura,0.852734375
1,3,128,1096285.257,1457.663709,FALSE,8,burkina faso,ouagadougou,0.552734375
1,3,129,1108710.718,inf,TRUE,9,burundi,bujumbura,0.85625
1,3,130,1114624.616,inf,FALSE,2,equatorial guinea,malabo,0.43359375
1,3,131,1122009.878,2175.102292,TRUE,9,burundi,bujumbura,0.855859375
1,3,132,1126754.534,2261.556541,FALSE,8,burkina faso,ouagadougou,0.565625
1,3,133,1135515.529,1905.816208,TRUE,9,burundi,bujumbura,0.80625
1,3,134,1139697.377,3609.331958,TRUE,7,nigeria,abuja,0.38671875
1,3,135,1145011.699,1827.197208,TRUE,9,burundi,bujumbura,0.756640625
1,3,136,1149674.82,1385.635583,TRUE,8,burkina faso,ouagadougou,0.565234375
1,3,137,1156663.369,1552.153584,TRUE,1,djibouti,djibouti,0.197265625
1,3,138,1161050.166,3072.141625,TRUE,9,burundi,bujumbura,0.75703125
1,3,139,1166346.815,1628.666167,TRUE,15,central african republic,bangui,0.404296875
1,3,140,1169629.969,3697.368,FALSE,2,equatorial guinea,malabo,0.458203125
1,3,141,1175923.041,2271.844583,TRUE,9,burundi,bujumbura,0.757421875
1,3,142,1180352.448,1129.460125,TRUE,14,namibia,windhoek,0.21875
1,3,143,1183769.151,1646.398416,FALSE,8,burkina faso,ouagadougou,0.60859375
1,3,144,1190643.064,1478.742042,TRUE,9,burundi,bujumbura,0.7328125
1,3,145,1195141.704,1025.6395,TRUE,8,burkina faso,ouagadougou,0.608203125
1,3,146,1200305.914,1734.556708,TRUE,11,gabon,libreville,0.376953125
1,3,147,1204957.401,4892.138459,TRUE,2,equatorial guinea,malabo,0.465625
1,3,148,1211945.067,1987.38975,TRUE,8,burkina faso,ouagadougou,0.58359375
1,3,149,1225799.353,3383.2375,TRUE,9,burundi,bujumbura,0.761328125
1,3,150,1231930.109,2092.91625,TRUE,4,niger,niamey,0.289453125
1,3,151,1236001.486,3384.020875,TRUE,9,burundi,bujumbura,0.79609375
1,3,152,1244338.355,2376.450375,TRUE,13,angola,luanda,0.29296875
1,3,153,1249132.529,2585.906833,TRUE,9,burundi,bujumbura,0.790234375
1,3,154,1254181.689,1098.006541,TRUE,8,burkina faso,ouagadougou,0.533984375
1,3,155,1260355.908,2246.549333,TRUE,9,burundi,bujumbura,0.7890625
1,3,156,1267168.761,inf,TRUE,2,equatorial guinea,malabo,0.472265625
1,3,157,1273454.993,inf,TRUE,9,burundi,bujumbura,0.795703125
2,1,1,174106.2551,2731.1014,TRUE,0,gabon,libreville,0.3
2,1,2,180242.3277,823.0495,TRUE,0,gabon,libreville,0.3
2,1,3,183830.9045,3250.4203,TRUE,1,central african republic,bangui,0.3
2,1,4,189264.4081,745.0185,TRUE,1,central african republic,bangui,0.3
2,1,5,192398.0651,2179.3549,TRUE,2,guinea-bissau,bissau,0.3
2,1,6,196747.6482,3309.6358,TRUE,3,sao tome and principe,sao tome,0.3
2,1,7,202164.2183,1205.0545,TRUE,2,guinea-bissau,bissau,0.3
2,1,8,205414.7102,1018.6591,TRUE,3,sao tome and principe,sao tome,0.3
2,1,9,208497.8074,1655.4532,TRUE,4,rwanda,kigali,0.3
2,1,10,213747.6066,2153.6453,TRUE,5,eritrea,asmara,0.3
2,1,11,217880.887,1556.464,FALSE,4,rwanda,kigali,0.3
2,1,12,221614.9531,4762.367,FALSE,5,eritrea,asmara,0.3
2,1,13,228664.9397,inf,TRUE,0,gabon,libreville,0.349609375
2,1,14,239414.9584,9282.2772,FALSE,1,central african republic,bangui,0.349609375
2,1,15,250814.9865,1002.1716,TRUE,2,guinea-bissau,bissau,0.250390625
2,1,16,253949.5383,827.7732,TRUE,3,sao tome and principe,sao tome,0.250390625
2,1,17,257048.4281,2580.7644,TRUE,6,seychelles,victoria,0.3
2,1,18,264581.9173,1679.3725,TRUE,7,swaziland,mbabane,0.3
2,1,19,269682.009,5651.2446,FALSE,6,seychelles,victoria,0.3
2,1,20,277082.2036,1183.0225,FALSE,7,swaziland,mbabane,0.3
2,1,21,280098.8863,5758.3929,FALSE,4,rwanda,kigali,0.349609375
2,1,22,288365.6757,3779.5306,FALSE,5,eritrea,asmara,0.349609375
2,1,23,296132.3411,1448.8339,TRUE,0,gabon,libreville,0.3
2,1,24,300049.256,7275.8985,TRUE,1,central african republic,bangui,0.39921875
2,1,25,309799.2642,2069.8469,TRUE,8,mozambique,maputo,0.3
2,1,26,314632.6504,1328.4205,TRUE,9,tunisia,tunis,0.3
2,1,27,318782.7761,1874.2619,FALSE,8,mozambique,maputo,0.3
2,1,28,322900.6532,3176.4956,TRUE,9,tunisia,tunis,0.3
2,1,29,327732.6802,7648.3391,FALSE,4,rwanda,kigali,0.39921875
2,1,30,337200.2206,inf,TRUE,1,central african republic,bangui,0.436328125
2,1,31,351633.6774,2343.3114,TRUE,6,seychelles,victoria,0.275390625
2,1,32,356516.5781,1592.4677,TRUE,5,eritrea,asmara,0.34921875
2,1,33,359900.1177,6052.9102,FALSE,7,swaziland,mbabane,0.349609375
2,1,34,368083.1816,7429.8266,FALSE,4,rwanda,kigali,0.448828125
2,1,35,378233.5839,2415.4485,TRUE,1,central african republic,bangui,0.43046875
2,1,36,382900.3444,2884.6677,FALSE,8,mozambique,maputo,0.349609375
2,1,37,388884.7798,924.1502,TRUE,9,tunisia,tunis,0.250390625
2,1,38,391633.8787,4623.0308,FALSE,4,rwanda,kigali,0.46171875
2,1,39,398400.6356,inf,FALSE,7,swaziland,mbabane,0.39921875
2,1,40,405767.3291,3705.7201,FALSE,10,ghana,accra,0.3
2,1,41,410550.549,2330.4142,TRUE,11,comoros,moroni,0.3
2,1,42,416467.2164,1825.7593,FALSE,10,ghana,accra,0.3
2,1,43,421034.091,7330.8206,FALSE,11,comoros,moroni,0.3
2,1,44,430217.9076,10979.0314,FALSE,4,rwanda,kigali,0.462109375
2,1,45,443786.1261,2082.8238,FALSE,8,mozambique,maputo,0.39921875
2,1,46,447667.5632,inf,FALSE,7,swaziland,mbabane,0.448828125
2,1,47,452118.1287,1634.6638,FALSE,1,central african republic,bangui,0.440234375
2,1,48,456234.211,2506.5922,TRUE,5,eritrea,asmara,0.343359375
2,1,49,460501.0675,2943.7796,TRUE,12,senegal,dakar,0.3
2,1,50,465368.0326,7836.8632,FALSE,7,swaziland,mbabane,0.46796875
2,1,51,477717.9304,2494.8635,FALSE,12,senegal,dakar,0.3
2,1,52,482735.0762,2977.8038,FALSE,8,mozambique,maputo,0.437890625
2,1,53,487718.0617,13158.7178,FALSE,10,ghana,accra,0.349609375
2,1,54,504552.0232,9440.9055,FALSE,4,rwanda,kigali,0.51171875
2,1,55,515085.5833,5095.1288,FALSE,11,comoros,moroni,0.349609375
2,1,56,521252.5865,inf,FALSE,7,swaziland,mbabane,0.468359375
2,1,57,528168.8743,15263.7407,FALSE,4,rwanda,kigali,0.561328125
2,1,58,545352.2787,4288.4259,FALSE,8,mozambique,maputo,0.43828125
2,1,59,551919.1852,1401.4492,FALSE,4,rwanda,kigali,0.5734375
2,1,60,555602.6205,1274.0877,TRUE,1,central african republic,bangui,0.43984375
2,1,61,558585.7729,8818.8768,FALSE,10,ghana,accra,0.39921875
2,1,62,569385.9139,2758.705,FALSE,4,rwanda,kigali,0.573828125
2,1,63,573902.6701,inf,FALSE,12,senegal,dakar,0.349609375
2,1,64,580269.6118,11515.0608,FALSE,7,swaziland,mbabane,0.51796875
2,1,65,594102.9276,1489.6466,FALSE,11,comoros,moroni,0.39921875
2,1,66,597553.2496,12183.2349,FALSE,4,rwanda,kigali,0.60546875
2,1,67,611536.4055,2128.1715,FALSE,7,swaziland,mbabane,0.541015625
2,1,68,615519.7843,1288.7864,FALSE,10,ghana,accra,0.426171875
2,1,69,619020.0126,576.5237,FALSE,4,rwanda,kigali,0.655078125
2,1,70,621536.5613,inf,FALSE,8,mozambique,maputo,0.487890625
2,1,71,627137.3885,1599.2227,TRUE,4,rwanda,kigali,0.6546875
2,1,72,630603.3053,2529.206,FALSE,7,swaziland,mbabane,0.55390625
2,1,73,635070.3528,1162.1424,FALSE,11,comoros,moroni,0.411328125
2,1,74,638170.1411,4658.4915,FALSE,0,gabon,libreville,0.349609375
2,1,75,644537.2769,inf,FALSE,4,rwanda,kigali,0.691796875
2,1,76,659271.2079,2929.2187,FALSE,8,mozambique,maputo,0.4984375
2,1,77,665889.1505,2203.2383,FALSE,4,rwanda,kigali,0.69765625
2,1,78,670874.2019,1562.3395,TRUE,12,senegal,dakar,0.34921875
2,1,79,674039.3385,1545.1172,TRUE,7,swaziland,mbabane,0.541796875
2,1,80,678170.8465,6013.5768,FALSE,4,rwanda,kigali,0.747265625
2,1,81,686220.9646,1895.5645,TRUE,1,central african republic,bangui,0.414453125
2,1,82,691454.5031,1293.9791,TRUE,4,rwanda,kigali,0.746875
2,1,83,695921.2642,7687.0984,FALSE,10,ghana,accra,0.45
2,1,84,705755.1335,inf,TRUE,4,rwanda,kigali,0.769921875
2,1,85,712488.3844,6187.9063,FALSE,8,mozambique,maputo,0.499609375
2,1,86,720571.6574,1600.7124,TRUE,4,rwanda,kigali,0.753125
2,1,87,723988.1445,6560.1674,TRUE,11,comoros,moroni,0.41484375
2,1,88,732988.4256,995.874,TRUE,4,rwanda,kigali,0.703515625
2,1,89,735788.7095,1803.7223,TRUE,7,swaziland,mbabane,0.54140625
2,1,90,741455.203,7753.0962,FALSE,5,eritrea,asmara,0.38671875
2,1,91,755805.2609,7731.1528,FALSE,10,ghana,accra,0.462109375
2,1,92,766072.4046,1115.8968,FALSE,4,rwanda,kigali,0.70390625
2,1,93,770638.5907,1725.6758,TRUE,6,seychelles,victoria,0.22578125
2,1,94,775038.7558,2401.5117,FALSE,0,gabon,libreville,0.35625
2,1,95,780205.5465,inf,FALSE,8,mozambique,maputo,0.54921875
2,1,96,784888.8401,6947.4605,FALSE,4,rwanda,kigali,0.753515625
2,1,97,793772.0389,23236.3356,FALSE,7,swaziland,mbabane,0.587890625
2,1,98,818974.7835,1913.4583,TRUE,4,rwanda,kigali,0.70390625
2,1,99,822789.628,15046.4072,FALSE,8,mozambique,maputo,0.552734375
2,1,100,839940.0126,2396.1087,TRUE,7,swaziland,mbabane,0.53828125
2,1,101,844573.2039,6270.9017,FALSE,10,ghana,accra,0.4734375
2,1,102,852906.7802,1121.323,TRUE,4,rwanda,kigali,0.654296875
2,1,103,855823.2842,5568.8459,FALSE,5,eritrea,asmara,0.388671875
2,1,104,863323.433,24100.6382,FALSE,8,mozambique,maputo,0.55546875
2,1,105,888507.3469,1840.6997,TRUE,11,comoros,moroni,0.408203125
2,1,106,893440.9152,1487.0542,TRUE,12,senegal,dakar,0.299609375
2,1,107,896623.4797,908.5854001,TRUE,3,sao tome and principe,sao tome,0.20078125
2,1,108,900474.5066,1265.5423,TRUE,2,guinea-bissau,bissau,0.20078125
2,1,109,903773.8416,10670.2411,FALSE,8,mozambique,maputo,0.580078125
2,1,110,918890.5667,2261.4212,TRUE,10,ghana,accra,0.473046875
2,1,111,923724.0531,5519.8455,TRUE,4,rwanda,kigali,0.703125
2,1,112,932690.8851,2477.0675,FALSE,8,mozambique,maputo,0.6046875
2,1,113,941191.064,3032.8051,FALSE,4,rwanda,kigali,0.703515625
2,1,114,947674.9331,2468.9277,TRUE,7,swaziland,mbabane,0.494921875
2,1,115,952724.5921,2719.3611,FALSE,1,central african republic,bangui,0.41796875
2,1,116,957941.3446,6842.5558,FALSE,4,rwanda,kigali,0.70390625
2,1,117,967807.914,1451.9877,FALSE,8,mozambique,maputo,0.616796875
2,1,118,972007.9167,1131.9279,FALSE,0,gabon,libreville,0.380859375
2,1,119,974807.9196,3207.9842,FALSE,4,rwanda,kigali,0.753515625
2,1,120,980975.0945,1416.7464,TRUE,9,tunisia,tunis,0.20078125
2,1,121,984141.6886,4422.1901,FALSE,4,rwanda,kigali,0.76015625
2,1,122,990575.2036,1268.6502,TRUE,8,mozambique,maputo,0.61640625
2,1,123,994858.5078,865.3389999,TRUE,4,rwanda,kigali,0.759765625
