trial,start_time,rt,correct,fact_id,question,answer,alpha
1,30811.507875012467,1999.4289159949403,False,0,gabon,libreville,0.3
2,37273.83375001955,851.2023749935906,True,0,gabon,libreville,0.3
3,40426.44733301131,3780.51595800207,False,1,eritrea,asmara,0.3
4,46002.56204101606,899.7312920109835,True,1,eritrea,asmara,0.3
5,48761.568916001124,3256.008042022586,True,2,st. helena,jamestown,0.3
6,54136.434083018685,1372.7566250017844,True,3,burkina faso,ouagadougou,0.3
7,61196.66604101076,1675.4348750109784,False,2,st. helena,jamestown,0.3
8,68549.88675002824,1585.7937499822583,False,3,burkina faso,ouagadougou,0.3
9,76518.24791601393,2328.6810420104302,True,4,burundi,bujumbura,0.3
10,83849.63250000146,inf,False,0,gabon,libreville,0.349609375
11,96030.0918330031,2836.0210829996504,False,4,burundi,bujumbura,0.3
12,102850.72995800874,1685.1453330018558,True,1,eritrea,asmara,0.250390625
13,107079.21525000711,1911.4476660033688,True,5,libya,tripoli,0.3
14,111098.26520801289,2504.6596250031143,False,2,st. helena,jamestown,0.349609375
15,115781.92100001615,2716.522750008153,True,5,libya,tripoli,0.3
16,120191.72437500674,1358.5982499935199,True,3,burkina faso,ouagadougou,0.250390625
17,126864.65987502015,5099.1320830071345,False,0,gabon,libreville,0.39921874999999996
18,136463.3387500071,1410.9757080150302,False,6,south africa,cape town,0.3
19,139913.50420800154,1485.8122500008903,True,7,ghana,accra,0.3
20,143063.4993330168,1722.5733750092331,True,6,south africa,cape town,0.3
21,146411.83966601966,5212.428333994467,False,7,ghana,accra,0.3
22,153642.77145802043,2790.4085000045598,False,4,burundi,bujumbura,0.349609375
23,158255.55375000113,3905.207583011361,False,2,st. helena,jamestown,0.39921874999999996
24,164889.79741602088,2830.0889169913717,False,0,gabon,libreville,0.4488281249999999
25,174353.23812501156,6411.335625016363,True,5,libya,tripoli,0.349609375
26,182437.1926250169,inf,True,0,gabon,libreville,0.47187499999999993
27,192612.03270801343,1326.7300419975072,True,2,st. helena,jamestown,0.398828125
28,195551.8712500052,1191.5655829943717,True,6,south africa,cape town,0.250390625
29,198155.84529101034,5929.743624990806,False,7,ghana,accra,0.349609375
30,206906.45866602426,2615.4161249869503,True,4,burundi,bujumbura,0.39921874999999996
31,212644.40095800092,1196.1831250227988,True,0,gabon,libreville,0.47148437499999996
32,216292.30416601058,inf,True,5,libya,tripoli,0.39921874999999996
33,223102.99695801223,2252.6273330149706,True,8,swaziland,mbabane,0.3
34,229219.03654100606,1220.5599170119967,True,9,gambia,banjul,0.3
35,234490.55150002823,2081.6232499782927,False,8,swaziland,mbabane,0.3
36,238560.8664160245,1971.1816670023836,False,9,gambia,banjul,0.3
37,242472.50770800747,3402.022666996345,False,4,burundi,bujumbura,0.41679687499999996
38,251129.41979101743,6279.973249998875,True,7,ghana,accra,0.39921874999999996
39,259521.74033300253,1205.3374579991214,True,5,libya,tripoli,0.398828125
40,262961.0614160192,1847.3804589884821,True,0,gabon,libreville,0.47109375
41,268235.68183300085,1879.5981670264155,True,2,st. helena,jamestown,0.3984375
42,272644.5157910057,1877.2354590182658,True,10,rwanda,kigali,0.3
43,277355.1495830179,2455.965917004505,True,7,ghana,accra,0.42460937499999996
44,283353.6987080006,4847.091750008985,False,10,rwanda,kigali,0.3
45,293180.3115000075,3439.2910829919856,False,4,burundi,bujumbura,0.4195312499999999
46,301811.2508330087,1460.6879170169123,False,8,swaziland,mbabane,0.349609375
47,305027.40408302634,10104.337041993858,False,9,gambia,banjul,0.349609375
48,320325.6880000117,1731.0797499958426,True,0,gabon,libreville,0.421484375
49,324374.1840000148,1322.5541249848902,True,7,ghana,accra,0.42265624999999996
50,328201.22429102776,1165.2244169963524,True,5,libya,tripoli,0.3984375
51,331935.0987910002,10377.871625008993,False,10,rwanda,kigali,0.349609375
